cntry,essround,hinctnta,gndr,gndr2,agea,eisced,domicil,edulvlb,pdwrk,hhmmb,health,happy,dscrrce,dscrgrp,mnactic
ME,10,2.0,2,6,46.0,4.0,3,323.0,1,1.0,1,8.0,0,7,1.0
ME,10,2.0,1,2,50.0,4.0,3,323.0,0,3.0,3,5.0,0,1,3.0
ME,10,6.0,2,2,25.0,7.0,2,710.0,1,4.0,2,5.0,0,1,1.0
ME,10,9.0,2,2,44.0,4.0,4,323.0,1,4.0,3,10.0,0,2,1.0
ME,10,8.0,1,2,61.0,4.0,3,323.0,1,4.0,1,8.0,0,2,1.0
ME,10,2.0,2,6,59.0,2.0,2,229.0,1,1.0,2,4.0,0,2,1.0
ME,10,5.0,1,2,56.0,4.0,4,323.0,0,2.0,2,7.0,0,2,6.0
ME,10,4.0,2,1,26.0,3.0,4,321.0,0,2.0,2,7.0,0,2,3.0
ME,10,5.0,2,1,30.0,4.0,2,323.0,0,4.0,2,7.0,0,2,4.0
ME,10,5.0,2,1,18.0,2.0,5,213.0,0,3.0,2,10.0,0,2,2.0
ME,10,6.0,2,2,27.0,4.0,2,323.0,0,5.0,3,10.0,0,2,4.0
ME,10,6.0,1,2,42.0,4.0,2,313.0,1,2.0,1,10.0,0,2,1.0
ME,10,7.0,2,1,55.0,3.0,4,321.0,0,4.0,1,9.0,0,2,8.0
ME,10,2.0,2,1,66.0,2.0,2,229.0,0,2.0,3,5.0,0,2,4.0
ME,10,8.0,2,1,22.0,4.0,1,323.0,1,6.0,2,10.0,0,2,2.0
ME,10,5.0,2,1,57.0,3.0,4,321.0,0,4.0,4,9.0,0,2,5.0
ME,10,8.0,1,2,52.0,5.0,3,520.0,1,3.0,2,8.0,0,2,1.0
ME,10,4.0,2,1,62.0,3.0,4,321.0,1,2.0,2,7.0,0,2,1.0
ME,10,1.0,2,1,70.0,1.0,4,113.0,0,2.0,4,6.0,0,2,8.0
ME,10,1.0,2,2,59.0,2.0,3,213.0,0,2.0,3,7.0,0,2,8.0
ME,10,1.0,2,6,73.0,1.0,1,113.0,0,1.0,1,10.0,0,2,6.0
ME,10,9.0,1,2,64.0,2.0,2,213.0,0,4.0,4,8.0,0,1,6.0
ME,10,3.0,1,2,64.0,2.0,2,229.0,0,2.0,2,4.0,0,2,6.0
ME,10,4.0,1,2,69.0,3.0,2,321.0,0,5.0,2,7.0,0,2,6.0
ME,10,4.0,2,1,55.0,3.0,2,321.0,0,2.0,2,7.0,0,2,4.0
ME,10,6.0,1,1,28.0,7.0,3,710.0,0,4.0,2,9.0,0,2,3.0
ME,10,7.0,2,1,40.0,3.0,3,321.0,1,3.0,2,8.0,0,2,1.0
ME,10,10.0,2,1,50.0,4.0,4,323.0,1,8.0,2,8.0,0,2,1.0
ME,10,6.0,2,6,34.0,3.0,3,321.0,1,1.0,2,7.0,0,2,1.0
ME,10,6.0,1,6,34.0,4.0,3,323.0,1,1.0,1,8.0,0,2,9.0
ME,10,2.0,2,1,28.0,5.0,3,520.0,1,4.0,1,6.0,0,2,1.0
ME,10,7.0,2,2,26.0,7.0,3,720.0,1,4.0,2,8.0,0,2,1.0
ME,10,1.0,1,2,49.0,3.0,4,321.0,1,6.0,2,8.0,0,2,1.0
ME,10,5.0,1,1,44.0,3.0,4,321.0,1,5.0,1,9.0,0,2,1.0
ME,10,2.0,2,1,71.0,3.0,4,321.0,0,2.0,4,7.0,0,2,6.0
ME,10,2.0,1,2,66.0,4.0,4,323.0,0,2.0,4,10.0,0,2,6.0
ME,10,8.0,2,1,26.0,4.0,3,323.0,0,3.0,3,10.0,0,2,8.0
ME,10,7.0,2,1,44.0,5.0,2,520.0,1,5.0,2,5.0,0,2,1.0
ME,10,10.0,1,2,70.0,3.0,4,321.0,0,3.0,2,10.0,0,2,6.0
ME,10,6.0,1,2,51.0,4.0,2,323.0,1,5.0,2,7.0,0,2,1.0
ME,10,6.0,1,1,30.0,3.0,4,321.0,0,4.0,3,7.0,0,2,4.0
ME,10,9.0,1,2,61.0,4.0,2,323.0,0,5.0,2,10.0,0,2,3.0
ME,10,2.0,2,1,83.0,2.0,2,213.0,0,3.0,2,8.0,0,2,6.0
ME,10,5.0,1,2,44.0,3.0,2,321.0,1,4.0,1,8.0,0,2,1.0
ME,10,4.0,1,2,57.0,3.0,2,321.0,0,2.0,3,8.0,0,2,6.0
ME,10,4.0,1,1,20.0,4.0,2,323.0,0,5.0,1,5.0,0,2,2.0
ME,10,9.0,2,2,21.0,6.0,4,620.0,0,5.0,1,8.0,0,2,2.0
ME,10,2.0,2,1,47.0,4.0,4,323.0,1,3.0,2,10.0,0,2,1.0
ME,10,8.0,1,1,25.0,6.0,4,620.0,0,3.0,1,8.0,0,2,9.0
ME,10,4.0,1,2,56.0,4.0,2,323.0,1,2.0,2,7.0,0,2,1.0
ME,10,5.0,2,1,69.0,4.0,4,323.0,0,2.0,3,7.0,0,2,6.0
ME,10,5.0,2,1,39.0,4.0,5,323.0,0,3.0,2,5.0,0,2,4.0
ME,10,1.0,1,6,61.0,2.0,5,213.0,0,1.0,2,7.0,0,2,5.0
ME,10,6.0,1,2,44.0,4.0,2,323.0,1,4.0,2,6.0,0,2,1.0
ME,10,9.0,2,1,44.0,5.0,1,520.0,1,3.0,1,9.0,0,2,1.0
ME,10,3.0,2,2,81.0,3.0,2,321.0,0,2.0,4,7.0,0,2,6.0
ME,10,8.0,1,1,21.0,4.0,4,313.0,0,4.0,1,9.0,0,2,4.0
ME,10,8.0,1,1,30.0,7.0,3,720.0,1,3.0,1,9.0,0,2,1.0
ME,10,6.0,1,1,31.0,4.0,3,323.0,0,5.0,1,8.0,0,2,3.0
ME,10,4.0,2,1,43.0,2.0,4,213.0,0,4.0,1,10.0,0,2,4.0
ME,10,8.0,2,2,45.0,5.0,2,423.0,1,4.0,1,6.0,0,2,1.0
ME,10,4.0,2,1,76.0,3.0,2,321.0,0,2.0,3,8.0,0,2,6.0
ME,10,5.0,1,2,64.0,4.0,4,323.0,0,6.0,2,8.0,0,2,6.0
ME,10,5.0,2,2,50.0,4.0,3,323.0,1,3.0,2,8.0,0,2,1.0
ME,10,1.0,2,1,82.0,1.0,4,113.0,0,4.0,5,10.0,0,2,6.0
ME,10,4.0,2,1,35.0,4.0,2,323.0,0,4.0,2,7.0,0,2,4.0
ME,10,5.0,2,1,50.0,4.0,3,323.0,0,4.0,2,10.0,0,2,8.0
ME,10,5.0,2,1,40.0,4.0,4,313.0,1,3.0,1,10.0,0,2,1.0
ME,10,2.0,2,6,44.0,4.0,3,323.0,1,1.0,2,5.0,0,2,1.0
ME,10,2.0,2,1,,1.0,4,0.0,0,2.0,3,7.0,0,2,6.0
ME,10,1.0,1,6,59.0,3.0,4,321.0,0,1.0,3,10.0,0,2,8.0
ME,10,3.0,1,2,27.0,2.0,3,229.0,1,2.0,1,10.0,0,2,1.0
ME,10,4.0,1,1,68.0,7.0,4,710.0,1,2.0,2,7.0,0,2,1.0
ME,10,1.0,1,2,36.0,1.0,4,0.0,0,5.0,1,8.0,0,2,4.0
ME,10,4.0,1,2,37.0,4.0,2,323.0,1,5.0,1,10.0,0,2,1.0
ME,10,3.0,1,2,39.0,7.0,2,710.0,1,6.0,2,7.0,0,2,1.0
ME,10,3.0,2,1,64.0,3.0,2,321.0,0,3.0,3,7.0,0,2,4.0
ME,10,9.0,2,1,25.0,6.0,2,620.0,0,4.0,1,9.0,0,2,3.0
ME,10,10.0,1,1,75.0,2.0,4,213.0,0,6.0,4,8.0,0,2,6.0
ME,10,1.0,1,6,60.0,1.0,3,113.0,0,1.0,3,6.0,0,2,3.0
ME,10,3.0,1,6,39.0,6.0,3,610.0,1,1.0,1,10.0,0,2,1.0
ME,10,4.0,2,6,43.0,4.0,2,323.0,1,1.0,2,4.0,0,2,1.0
ME,10,7.0,2,1,21.0,4.0,1,323.0,1,3.0,1,8.0,0,2,1.0
ME,10,8.0,1,1,26.0,6.0,3,610.0,1,4.0,1,5.0,0,2,1.0
ME,10,2.0,2,1,19.0,4.0,3,323.0,0,5.0,1,10.0,0,1,2.0
ME,10,1.0,2,6,73.0,2.0,2,229.0,0,1.0,3,5.0,0,7,6.0
ME,10,5.0,2,1,23.0,4.0,2,323.0,1,2.0,1,10.0,0,2,1.0
ME,10,7.0,1,1,47.0,4.0,3,323.0,1,4.0,1,5.0,0,2,1.0
ME,10,7.0,1,1,28.0,4.0,4,323.0,1,6.0,2,7.0,0,2,1.0
ME,10,9.0,2,1,38.0,4.0,4,323.0,1,7.0,2,8.0,0,2,1.0
ME,10,6.0,1,2,32.0,4.0,3,323.0,1,2.0,2,6.0,0,2,1.0
ME,10,3.0,1,6,40.0,3.0,3,321.0,1,1.0,3,6.0,0,2,1.0
ME,10,2.0,2,1,55.0,2.0,3,229.0,0,2.0,3,8.0,0,2,8.0
ME,10,7.0,1,2,45.0,3.0,3,321.0,1,2.0,3,8.0,0,1,1.0
ME,10,4.0,2,2,27.0,4.0,2,323.0,1,2.0,1,10.0,0,2,1.0
ME,10,4.0,1,2,35.0,3.0,3,321.0,1,4.0,2,7.0,0,2,1.0
ME,10,6.0,1,2,41.0,7.0,2,710.0,1,5.0,2,8.0,0,2,1.0
ME,10,5.0,2,1,37.0,4.0,4,323.0,0,5.0,2,8.0,0,2,3.0
ME,10,6.0,2,1,44.0,4.0,2,323.0,0,3.0,2,7.0,0,2,4.0
ME,10,6.0,2,1,54.0,4.0,3,323.0,0,2.0,3,4.0,0,1,8.0
ME,10,2.0,1,6,36.0,3.0,4,321.0,1,1.0,2,7.0,0,2,1.0
ME,10,3.0,1,6,69.0,4.0,3,323.0,0,1.0,3,5.0,0,2,6.0
ME,10,4.0,2,2,28.0,4.0,3,323.0,1,3.0,1,7.0,0,2,1.0
ME,10,6.0,1,2,90.0,4.0,2,323.0,0,2.0,1,10.0,0,2,6.0
ME,10,5.0,1,2,38.0,7.0,2,720.0,1,3.0,2,10.0,0,2,1.0
ME,10,8.0,2,1,19.0,4.0,3,313.0,0,3.0,1,10.0,0,1,2.0
ME,10,6.0,1,2,54.0,3.0,2,321.0,1,4.0,2,3.0,0,2,1.0
ME,10,6.0,2,1,43.0,4.0,4,323.0,1,9.0,2,8.0,0,2,1.0
ME,10,3.0,1,1,61.0,3.0,4,321.0,0,3.0,2,8.0,0,2,6.0
ME,10,3.0,2,1,73.0,2.0,2,213.0,0,2.0,4,8.0,0,2,6.0
ME,10,4.0,1,2,56.0,4.0,4,323.0,1,4.0,2,8.0,0,2,1.0
ME,10,5.0,2,1,24.0,4.0,4,313.0,0,10.0,1,10.0,0,2,8.0
ME,10,5.0,1,2,57.0,4.0,2,323.0,0,2.0,2,7.0,0,2,6.0
ME,10,2.0,1,2,59.0,4.0,4,323.0,0,2.0,4,10.0,0,2,6.0
ME,10,5.0,2,6,31.0,7.0,1,710.0,1,1.0,1,8.0,0,1,1.0
ME,10,5.0,1,2,63.0,3.0,3,321.0,0,3.0,3,9.0,0,2,6.0
ME,10,6.0,2,2,23.0,4.0,3,323.0,0,4.0,2,6.0,0,1,2.0
ME,10,8.0,2,1,68.0,5.0,2,423.0,0,2.0,3,8.0,0,2,6.0
ME,10,6.0,2,1,64.0,7.0,3,710.0,0,5.0,3,7.0,0,1,6.0
ME,10,4.0,1,2,61.0,4.0,3,323.0,0,2.0,2,6.0,0,2,6.0
ME,10,4.0,2,1,67.0,55.0,2,5555.0,0,2.0,1,7.0,0,2,9.0
ME,10,3.0,1,2,65.0,4.0,5,323.0,0,2.0,3,7.0,0,2,6.0
ME,10,5.0,1,1,29.0,7.0,3,710.0,0,3.0,2,8.0,0,2,3.0
ME,10,9.0,2,1,31.0,5.0,3,510.0,0,8.0,1,8.0,0,2,8.0
ME,10,2.0,2,1,,2.0,4,213.0,0,7.0,2,5.0,0,2,3.0
ME,10,5.0,1,2,28.0,4.0,2,323.0,1,2.0,2,6.0,0,2,1.0
ME,10,4.0,1,1,23.0,6.0,4,620.0,0,3.0,1,10.0,0,2,9.0
ME,10,8.0,2,1,,4.0,3,323.0,1,5.0,1,8.0,0,2,1.0
ME,10,3.0,2,2,76.0,2.0,2,213.0,0,2.0,4,10.0,0,2,6.0
ME,10,2.0,2,1,53.0,1.0,4,113.0,0,5.0,2,8.0,0,2,8.0
ME,10,4.0,2,6,73.0,5.0,2,423.0,0,1.0,1,10.0,0,2,6.0
ME,10,9.0,2,1,69.0,7.0,1,710.0,0,2.0,2,8.0,0,2,6.0
ME,10,6.0,1,2,60.0,3.0,3,321.0,1,4.0,1,6.0,0,2,1.0
ME,10,3.0,2,1,42.0,4.0,4,323.0,0,5.0,1,7.0,0,2,4.0
ME,10,8.0,1,1,24.0,4.0,3,313.0,0,4.0,1,5.0,0,2,9.0
ME,10,2.0,1,2,68.0,4.0,2,323.0,0,5.0,4,10.0,0,2,6.0
ME,10,3.0,1,2,63.0,4.0,4,323.0,0,5.0,2,7.0,0,2,6.0
ME,10,1.0,1,2,47.0,4.0,3,323.0,0,4.0,2,5.0,0,2,3.0
ME,10,5.0,2,6,46.0,4.0,1,313.0,1,1.0,3,10.0,0,2,1.0
ME,10,4.0,1,2,60.0,3.0,4,321.0,0,4.0,2,9.0,0,2,6.0
ME,10,10.0,2,1,35.0,6.0,2,620.0,1,4.0,1,7.0,0,1,
ME,10,8.0,2,1,60.0,4.0,3,323.0,0,3.0,2,5.0,0,2,6.0
ME,10,5.0,2,1,47.0,4.0,2,313.0,1,5.0,2,10.0,0,2,1.0
ME,10,3.0,2,1,25.0,3.0,2,321.0,1,5.0,2,7.0,0,2,1.0
ME,10,3.0,1,2,63.0,4.0,2,323.0,0,3.0,2,8.0,0,2,6.0
ME,10,3.0,1,1,23.0,4.0,4,313.0,0,2.0,1,10.0,0,2,3.0
ME,10,5.0,2,1,27.0,7.0,1,710.0,1,4.0,1,10.0,0,2,1.0
ME,10,8.0,1,2,33.0,7.0,4,720.0,0,6.0,1,7.0,0,2,3.0
ME,10,1.0,1,6,34.0,3.0,2,321.0,0,1.0,2,6.0,0,2,3.0
ME,10,8.0,2,1,30.0,6.0,3,620.0,0,3.0,3,9.0,0,2,4.0
ME,10,3.0,1,2,32.0,7.0,2,710.0,0,2.0,1,9.0,0,2,3.0
ME,10,4.0,2,1,41.0,2.0,4,213.0,0,5.0,1,10.0,0,2,3.0
ME,10,1.0,2,6,78.0,1.0,3,113.0,0,1.0,3,6.0,0,2,6.0
ME,10,8.0,1,1,25.0,4.0,3,313.0,1,5.0,1,10.0,0,2,1.0
ME,10,3.0,1,1,20.0,55.0,2,5555.0,0,2.0,1,4.0,0,2,2.0
ME,10,6.0,1,1,20.0,55.0,2,5555.0,0,5.0,1,10.0,0,2,9.0
ME,10,3.0,2,1,59.0,3.0,2,321.0,1,3.0,4,5.0,0,2,1.0
ME,10,4.0,2,1,63.0,5.0,3,520.0,0,2.0,3,10.0,0,2,6.0
ME,10,7.0,1,2,78.0,4.0,3,323.0,0,2.0,2,5.0,0,2,6.0
ME,10,5.0,1,2,90.0,2.0,1,213.0,0,3.0,3,5.0,0,2,6.0
ME,10,2.0,2,1,31.0,3.0,4,321.0,0,2.0,3,3.0,0,2,3.0
ME,10,4.0,1,6,51.0,4.0,1,323.0,1,1.0,4,7.0,0,7,1.0
ME,10,2.0,1,1,26.0,2.0,2,229.0,0,4.0,2,7.0,0,2,3.0
ME,10,9.0,1,2,43.0,3.0,2,321.0,1,7.0,2,7.0,0,2,1.0
ME,10,4.0,2,1,42.0,4.0,2,313.0,1,3.0,1,10.0,0,2,1.0
ME,10,8.0,2,2,34.0,6.0,4,610.0,0,5.0,1,5.0,0,2,8.0
ME,10,1.0,1,2,46.0,4.0,4,313.0,0,4.0,1,4.0,0,2,3.0
ME,10,8.0,2,1,60.0,3.0,3,321.0,1,4.0,3,10.0,0,2,1.0
ME,10,7.0,1,2,45.0,4.0,2,323.0,1,4.0,1,8.0,0,2,1.0
ME,10,3.0,2,1,51.0,4.0,4,323.0,0,5.0,2,6.0,0,2,3.0
ME,10,4.0,1,2,73.0,2.0,2,213.0,0,2.0,3,5.0,0,2,6.0
ME,10,7.0,1,2,49.0,4.0,4,323.0,1,5.0,1,7.0,0,2,1.0
ME,10,5.0,1,2,70.0,4.0,2,323.0,0,2.0,2,9.0,0,2,6.0
ME,10,4.0,1,2,58.0,4.0,2,323.0,0,4.0,2,7.0,0,2,6.0
ME,10,3.0,1,2,71.0,3.0,2,321.0,0,2.0,3,7.0,0,2,6.0
ME,10,7.0,2,1,51.0,4.0,3,323.0,0,5.0,2,10.0,0,2,8.0
ME,10,5.0,1,2,45.0,4.0,4,323.0,1,5.0,2,7.0,0,2,1.0
ME,10,4.0,1,1,39.0,4.0,5,323.0,0,3.0,1,8.0,0,2,3.0
ME,10,8.0,2,2,25.0,4.0,2,323.0,0,4.0,2,7.0,0,2,4.0
ME,10,4.0,2,1,49.0,4.0,4,323.0,0,2.0,1,8.0,0,2,4.0
ME,10,2.0,1,2,66.0,2.0,4,213.0,0,2.0,1,5.0,0,2,6.0
ME,10,5.0,1,1,27.0,7.0,5,710.0,1,4.0,2,8.0,0,1,1.0
ME,10,5.0,2,1,49.0,7.0,3,710.0,1,5.0,3,8.0,0,2,1.0
ME,10,1.0,1,2,74.0,1.0,4,0.0,0,6.0,3,3.0,0,2,6.0
ME,10,4.0,1,1,39.0,4.0,3,323.0,0,3.0,2,6.0,0,2,4.0
ME,10,7.0,2,2,29.0,6.0,3,620.0,1,3.0,1,8.0,0,2,1.0
ME,10,6.0,2,1,27.0,4.0,4,323.0,1,5.0,1,7.0,0,2,1.0
ME,10,2.0,1,2,64.0,3.0,3,321.0,1,2.0,2,10.0,0,2,1.0
ME,10,9.0,1,2,46.0,6.0,2,620.0,1,4.0,1,10.0,0,2,1.0
ME,10,3.0,1,2,74.0,3.0,2,321.0,0,2.0,2,5.0,0,2,6.0
ME,10,6.0,1,2,57.0,4.0,2,323.0,0,3.0,2,9.0,0,2,6.0
ME,10,4.0,1,2,65.0,4.0,3,323.0,0,2.0,1,9.0,0,2,6.0
ME,10,2.0,2,1,72.0,5.0,1,520.0,0,2.0,4,10.0,0,2,6.0
ME,10,5.0,1,2,55.0,4.0,4,323.0,1,3.0,2,10.0,0,2,1.0
ME,10,7.0,2,1,73.0,4.0,4,313.0,0,4.0,1,10.0,0,1,6.0
ME,10,7.0,2,1,43.0,3.0,4,321.0,0,4.0,2,8.0,0,2,4.0
ME,10,5.0,1,6,29.0,3.0,3,321.0,1,1.0,2,7.0,0,2,1.0
ME,10,4.0,2,1,75.0,2.0,4,213.0,0,2.0,2,4.0,0,2,6.0
ME,10,4.0,2,1,28.0,4.0,4,323.0,0,3.0,2,8.0,0,2,3.0
ME,10,9.0,2,1,33.0,7.0,3,710.0,1,4.0,1,10.0,0,2,1.0
ME,10,4.0,2,1,64.0,4.0,2,323.0,0,2.0,2,7.0,0,2,6.0
ME,10,5.0,2,1,28.0,7.0,2,710.0,1,2.0,1,8.0,0,2,1.0
ME,10,3.0,2,1,17.0,2.0,2,213.0,0,4.0,1,10.0,0,2,2.0
ME,10,4.0,1,1,,7.0,3,710.0,0,4.0,1,6.0,0,2,3.0
ME,10,4.0,2,1,19.0,55.0,2,5555.0,0,4.0,1,10.0,0,2,2.0
ME,10,7.0,1,2,47.0,5.0,2,520.0,1,4.0,2,8.0,0,2,1.0
ME,10,6.0,2,1,38.0,7.0,2,710.0,1,5.0,2,10.0,0,2,1.0
ME,10,2.0,2,6,76.0,2.0,2,229.0,0,1.0,3,7.0,0,2,6.0
ME,10,5.0,1,2,57.0,4.0,3,313.0,1,4.0,2,6.0,0,1,1.0
ME,10,3.0,1,1,40.0,4.0,3,323.0,0,4.0,2,8.0,0,2,3.0
ME,10,5.0,1,6,50.0,4.0,3,323.0,1,1.0,3,5.0,0,2,1.0
ME,10,9.0,2,1,69.0,4.0,2,323.0,0,5.0,2,10.0,0,2,6.0
ME,10,8.0,1,2,46.0,55.0,3,5555.0,1,3.0,2,10.0,0,2,1.0
ME,10,9.0,2,1,57.0,5.0,2,520.0,1,6.0,2,9.0,0,2,1.0
ME,10,4.0,1,2,39.0,4.0,4,323.0,1,8.0,3,8.0,0,2,1.0
ME,10,3.0,1,6,55.0,4.0,3,323.0,1,1.0,2,7.0,0,2,1.0
ME,10,8.0,1,2,47.0,4.0,3,323.0,1,6.0,2,7.0,0,2,1.0
ME,10,1.0,2,6,67.0,3.0,4,321.0,0,1.0,3,7.0,0,2,6.0
ME,10,7.0,1,6,76.0,2.0,2,213.0,0,1.0,3,7.0,0,8,6.0
ME,10,6.0,1,2,69.0,4.0,1,323.0,0,2.0,1,7.0,0,2,6.0
ME,10,8.0,2,1,26.0,5.0,3,510.0,0,5.0,2,10.0,0,1,3.0
ME,10,2.0,2,6,,1.0,4,113.0,0,1.0,3,8.0,0,2,6.0
ME,10,4.0,1,6,47.0,4.0,5,313.0,1,1.0,2,8.0,0,2,1.0
ME,10,6.0,2,1,43.0,3.0,4,321.0,1,6.0,2,8.0,0,2,1.0
ME,10,4.0,1,2,32.0,7.0,2,710.0,0,2.0,1,9.0,0,2,3.0
ME,10,7.0,1,6,24.0,4.0,4,323.0,1,1.0,2,8.0,0,2,1.0
ME,10,8.0,1,2,73.0,7.0,3,710.0,0,7.0,1,10.0,0,2,6.0
ME,10,5.0,1,2,22.0,4.0,2,323.0,0,4.0,1,5.0,0,2,3.0
ME,10,2.0,2,1,36.0,4.0,4,323.0,1,2.0,2,10.0,0,2,1.0
ME,10,2.0,1,1,37.0,4.0,4,323.0,0,4.0,2,5.0,0,2,3.0
ME,10,5.0,2,1,51.0,4.0,2,323.0,1,4.0,2,6.0,0,2,1.0
ME,10,3.0,1,2,29.0,7.0,4,710.0,0,2.0,2,8.0,0,2,3.0
ME,10,2.0,1,2,75.0,2.0,2,213.0,0,2.0,3,7.0,0,1,6.0
ME,10,4.0,1,1,49.0,2.0,4,213.0,0,3.0,2,8.0,0,2,4.0
ME,10,10.0,1,1,22.0,4.0,2,323.0,1,4.0,1,7.0,0,1,1.0
ME,10,4.0,2,6,25.0,5.0,1,520.0,1,1.0,2,10.0,0,2,1.0
ME,10,1.0,1,2,60.0,2.0,5,213.0,0,2.0,3,3.0,0,2,4.0
ME,10,10.0,2,1,72.0,3.0,4,321.0,0,5.0,3,10.0,0,2,6.0
ME,10,8.0,2,2,34.0,7.0,3,710.0,0,5.0,1,6.0,0,2,4.0
ME,10,6.0,2,2,47.0,4.0,2,323.0,1,5.0,4,5.0,0,8,1.0
ME,10,9.0,2,1,26.0,5.0,4,520.0,1,4.0,1,7.0,0,2,1.0
ME,10,4.0,2,2,67.0,7.0,1,710.0,0,2.0,1,10.0,0,2,6.0
ME,10,8.0,2,1,32.0,4.0,2,323.0,1,2.0,1,9.0,0,2,1.0
ME,10,2.0,2,2,49.0,4.0,3,323.0,0,3.0,2,7.0,0,2,3.0
ME,10,6.0,1,6,51.0,4.0,2,323.0,0,1.0,3,4.0,0,7,6.0
ME,10,4.0,1,2,28.0,4.0,4,323.0,1,2.0,1,8.0,0,2,1.0
ME,10,2.0,1,2,46.0,3.0,4,321.0,1,4.0,2,10.0,0,2,1.0
ME,10,6.0,1,6,61.0,6.0,2,620.0,1,1.0,3,8.0,0,2,1.0
ME,10,5.0,2,1,53.0,7.0,2,710.0,0,3.0,1,10.0,0,2,6.0
ME,10,6.0,1,2,33.0,5.0,2,520.0,1,3.0,3,6.0,0,2,1.0
ME,10,4.0,2,6,67.0,5.0,2,510.0,0,1.0,2,8.0,0,2,6.0
ME,10,3.0,2,1,56.0,3.0,3,321.0,0,2.0,2,5.0,0,2,6.0
ME,10,6.0,2,1,59.0,55.0,2,5555.0,0,3.0,2,3.0,0,2,9.0
ME,10,6.0,1,6,46.0,4.0,2,323.0,1,1.0,2,9.0,0,2,1.0
ME,10,7.0,1,2,34.0,4.0,2,323.0,1,2.0,1,10.0,0,2,1.0
ME,10,5.0,2,1,36.0,4.0,4,323.0,0,5.0,1,7.0,0,2,4.0
ME,10,2.0,1,6,,2.0,5,213.0,1,1.0,3,3.0,0,2,1.0
ME,10,4.0,1,2,45.0,4.0,4,313.0,0,4.0,1,10.0,0,2,9.0
ME,10,6.0,1,2,30.0,4.0,2,323.0,1,2.0,2,9.0,0,2,1.0
ME,10,6.0,1,2,55.0,4.0,3,323.0,1,4.0,2,5.0,0,2,1.0
ME,10,6.0,1,2,38.0,4.0,4,313.0,1,5.0,1,10.0,0,2,1.0
ME,10,1.0,2,6,66.0,2.0,5,213.0,0,1.0,3,6.0,0,2,6.0
ME,10,8.0,1,1,23.0,4.0,3,323.0,0,3.0,2,10.0,0,1,9.0
ME,10,7.0,2,1,39.0,4.0,2,323.0,1,5.0,2,7.0,0,2,1.0
ME,10,5.0,1,1,21.0,3.0,4,321.0,0,4.0,2,6.0,0,2,3.0
ME,10,5.0,2,1,54.0,2.0,4,213.0,0,2.0,3,6.0,0,2,3.0
ME,10,5.0,1,1,59.0,55.0,3,5555.0,0,2.0,2,10.0,0,2,9.0
ME,10,4.0,1,1,53.0,4.0,3,323.0,1,2.0,1,5.0,0,2,1.0
ME,10,6.0,1,2,43.0,4.0,4,323.0,1,4.0,2,10.0,0,2,1.0
ME,10,7.0,2,1,49.0,6.0,3,620.0,1,3.0,3,10.0,0,2,1.0
ME,10,3.0,2,6,61.0,1.0,2,113.0,0,1.0,2,3.0,0,2,9.0
ME,10,5.0,2,1,36.0,2.0,2,229.0,0,4.0,1,10.0,0,1,3.0
ME,10,2.0,2,2,62.0,1.0,3,113.0,0,2.0,3,5.0,0,2,6.0
ME,10,7.0,1,2,63.0,5.0,2,510.0,1,5.0,3,10.0,0,2,1.0
ME,10,5.0,2,1,50.0,4.0,2,323.0,0,3.0,2,8.0,0,2,4.0
ME,10,7.0,2,1,20.0,55.0,2,5555.0,0,6.0,1,10.0,0,2,9.0
ME,10,6.0,2,1,56.0,4.0,2,313.0,0,2.0,1,9.0,0,2,6.0
ME,10,3.0,2,1,49.0,3.0,4,321.0,0,2.0,2,9.0,0,2,8.0
ME,10,2.0,1,2,49.0,4.0,3,323.0,1,3.0,2,5.0,0,2,1.0
ME,10,5.0,2,1,57.0,4.0,3,313.0,1,3.0,2,10.0,0,2,1.0
ME,10,8.0,1,1,33.0,4.0,2,313.0,1,3.0,1,7.0,0,2,1.0
ME,10,3.0,1,2,46.0,4.0,4,313.0,1,2.0,2,9.0,0,2,1.0
ME,10,4.0,1,2,48.0,4.0,4,323.0,0,7.0,1,10.0,0,1,9.0
ME,10,9.0,2,2,30.0,5.0,2,520.0,1,4.0,2,7.0,0,2,1.0
ME,10,5.0,2,1,47.0,4.0,3,313.0,1,3.0,4,8.0,0,2,1.0
ME,10,5.0,1,2,53.0,4.0,3,323.0,0,5.0,2,9.0,0,2,4.0
ME,10,3.0,1,2,50.0,4.0,3,323.0,1,5.0,1,7.0,0,1,1.0
ME,10,6.0,1,2,52.0,5.0,4,422.0,1,3.0,2,4.0,0,2,1.0
ME,10,2.0,1,6,52.0,6.0,3,610.0,0,1.0,2,7.0,0,2,3.0
ME,10,3.0,2,6,78.0,3.0,2,321.0,0,1.0,2,8.0,0,2,6.0
ME,10,5.0,1,6,44.0,5.0,2,520.0,1,1.0,1,3.0,0,1,1.0
ME,10,5.0,1,2,40.0,4.0,3,323.0,1,4.0,2,7.0,0,2,1.0
ME,10,4.0,1,2,27.0,6.0,3,620.0,1,3.0,1,10.0,0,2,1.0
ME,10,2.0,2,1,38.0,3.0,4,321.0,0,2.0,2,3.0,0,2,4.0
ME,10,9.0,1,1,41.0,7.0,2,710.0,1,3.0,1,9.0,0,2,1.0
ME,10,3.0,2,1,29.0,2.0,2,229.0,0,5.0,1,10.0,0,2,3.0
