cntry,essround,hinctnta,gndr,gndr2,agea,eisced,domicil,edulvlb,pdwrk,hhmmb,health,happy,dscrrce,dscrgrp,mnactic
BE,10,6.0,1,1,18.0,2.0,4,213.0,0,4.0,1,8.0,0,2,2.0
BE,10,4.0,2,1,31.0,5.0,3,413.0,1,4.0,1,8.0,0,2,8.0
BE,10,5.0,1,1,20.0,4.0,4,313.0,0,5.0,3,7.0,0,2,2.0
BE,10,7.0,1,2,60.0,6.0,4,610.0,0,2.0,2,8.0,0,2,6.0
BE,10,10.0,1,2,47.0,6.0,4,610.0,1,6.0,1,9.0,0,2,1.0
BE,10,6.0,2,1,42.0,7.0,1,720.0,1,2.0,2,6.0,0,2,1.0
BE,10,6.0,1,2,68.0,1.0,4,113.0,0,2.0,1,8.0,0,2,6.0
BE,10,6.0,2,1,,4.0,4,313.0,0,3.0,3,7.0,0,2,6.0
BE,10,8.0,1,2,34.0,5.0,2,423.0,1,3.0,2,10.0,0,2,1.0
BE,10,5.0,1,6,48.0,6.0,3,610.0,1,1.0,3,5.0,0,2,1.0
BE,10,9.0,1,2,43.0,7.0,3,800.0,1,3.0,1,8.0,0,2,1.0
BE,10,8.0,1,2,30.0,7.0,2,710.0,1,3.0,2,8.0,0,2,1.0
BE,10,7.0,2,6,57.0,6.0,4,610.0,1,1.0,3,8.0,0,2,1.0
BE,10,8.0,2,1,61.0,6.0,4,610.0,1,2.0,2,8.0,0,2,1.0
BE,10,5.0,1,1,25.0,2.0,1,222.0,1,3.0,1,7.0,0,2,1.0
BE,10,4.0,2,2,22.0,4.0,3,323.0,0,7.0,3,2.0,0,2,9.0
BE,10,3.0,2,6,90.0,2.0,4,213.0,0,1.0,3,5.0,0,2,6.0
BE,10,7.0,1,2,57.0,1.0,4,0.0,1,2.0,3,8.0,0,2,8.0
BE,10,10.0,1,2,65.0,7.0,1,720.0,1,2.0,2,8.0,0,2,1.0
BE,10,4.0,1,2,71.0,3.0,4,321.0,0,2.0,2,5.0,0,2,6.0
BE,10,7.0,2,1,58.0,2.0,4,213.0,1,2.0,4,9.0,0,2,1.0
BE,10,7.0,1,1,23.0,4.0,1,323.0,0,4.0,2,8.0,0,2,2.0
BE,10,7.0,1,2,69.0,4.0,4,313.0,0,2.0,3,7.0,0,2,6.0
BE,10,8.0,1,2,35.0,4.0,4,323.0,1,2.0,2,7.0,0,2,1.0
BE,10,5.0,2,1,70.0,3.0,1,321.0,0,2.0,3,7.0,0,2,6.0
BE,10,8.0,1,2,49.0,2.0,3,222.0,1,3.0,2,9.0,0,2,1.0
BE,10,7.0,2,1,47.0,4.0,4,323.0,1,4.0,2,8.0,0,2,1.0
BE,10,4.0,1,6,67.0,2.0,4,213.0,0,1.0,2,7.0,0,2,6.0
BE,10,7.0,2,1,50.0,6.0,2,610.0,0,4.0,4,3.0,0,1,5.0
BE,10,6.0,2,1,39.0,7.0,2,720.0,0,7.0,1,9.0,0,1,8.0
BE,10,4.0,1,2,58.0,4.0,1,323.0,1,4.0,2,8.0,0,2,1.0
BE,10,7.0,2,1,30.0,6.0,3,610.0,1,2.0,1,8.0,0,2,1.0
BE,10,7.0,1,2,62.0,5.0,3,421.0,0,2.0,2,8.0,0,2,6.0
BE,10,2.0,1,6,52.0,4.0,4,313.0,0,1.0,4,7.0,0,2,5.0
BE,10,3.0,2,6,41.0,5.0,3,421.0,0,1.0,3,6.0,0,2,5.0
BE,10,8.0,2,1,74.0,7.0,4,720.0,0,2.0,1,9.0,0,2,6.0
BE,10,5.0,1,2,76.0,4.0,4,313.0,0,2.0,2,7.0,0,2,6.0
BE,10,4.0,2,1,39.0,5.0,4,423.0,1,2.0,2,9.0,0,1,1.0
BE,10,5.0,1,2,63.0,2.0,3,222.0,0,2.0,2,9.0,0,2,6.0
BE,10,5.0,2,1,68.0,4.0,3,313.0,0,2.0,2,9.0,0,2,6.0
BE,10,8.0,1,2,35.0,5.0,4,423.0,1,2.0,2,9.0,0,2,1.0
BE,10,8.0,2,1,29.0,7.0,4,720.0,1,4.0,2,8.0,0,2,8.0
BE,10,8.0,1,1,16.0,2.0,5,213.0,0,4.0,1,10.0,0,2,2.0
BE,10,2.0,1,6,30.0,5.0,4,421.0,0,1.0,2,9.0,0,2,5.0
BE,10,2.0,1,1,70.0,7.0,3,710.0,0,2.0,4,9.0,0,2,6.0
BE,10,9.0,1,2,43.0,7.0,1,710.0,1,4.0,2,7.0,0,2,1.0
BE,10,5.0,1,2,72.0,4.0,4,313.0,0,2.0,4,7.0,0,2,6.0
BE,10,9.0,1,2,31.0,4.0,5,313.0,1,2.0,2,7.0,0,2,1.0
BE,10,6.0,2,1,30.0,4.0,2,323.0,0,5.0,3,8.0,0,2,2.0
BE,10,6.0,1,2,69.0,5.0,4,421.0,0,2.0,2,7.0,0,2,6.0
BE,10,6.0,2,1,57.0,5.0,4,421.0,0,3.0,4,9.0,0,2,5.0
BE,10,8.0,1,2,67.0,4.0,2,313.0,0,2.0,2,8.0,0,2,6.0
BE,10,3.0,2,1,42.0,6.0,1,610.0,1,3.0,1,8.0,0,2,1.0
BE,10,8.0,2,1,41.0,7.0,4,720.0,1,3.0,2,7.0,0,2,1.0
BE,10,5.0,2,1,33.0,7.0,4,720.0,1,2.0,1,8.0,0,2,1.0
BE,10,5.0,1,2,58.0,6.0,5,610.0,1,2.0,3,9.0,0,2,1.0
BE,10,5.0,1,2,20.0,4.0,2,323.0,0,2.0,1,6.0,0,2,2.0
BE,10,7.0,2,6,18.0,3.0,4,321.0,1,1.0,2,4.0,0,2,1.0
BE,10,10.0,2,1,27.0,6.0,5,610.0,1,4.0,2,8.0,0,2,1.0
BE,10,6.0,2,1,44.0,3.0,4,321.0,1,4.0,2,10.0,0,2,1.0
BE,10,7.0,2,1,67.0,6.0,3,610.0,0,2.0,2,8.0,0,2,8.0
BE,10,4.0,1,6,44.0,6.0,3,610.0,1,1.0,2,8.0,0,2,1.0
BE,10,8.0,1,2,51.0,3.0,4,321.0,1,4.0,5,3.0,0,2,1.0
BE,10,2.0,1,6,60.0,3.0,4,321.0,0,1.0,3,8.0,0,2,5.0
BE,10,3.0,1,6,66.0,2.0,5,222.0,0,1.0,4,7.0,0,2,6.0
BE,10,3.0,2,1,70.0,2.0,5,222.0,0,2.0,3,7.0,0,2,6.0
BE,10,2.0,1,2,48.0,2.0,1,222.0,0,7.0,2,8.0,0,2,4.0
BE,10,8.0,2,1,60.0,6.0,3,610.0,1,2.0,3,8.0,0,2,1.0
BE,10,6.0,1,2,49.0,1.0,2,113.0,1,4.0,2,8.0,0,2,1.0
BE,10,5.0,2,1,34.0,6.0,4,610.0,1,3.0,1,7.0,0,2,1.0
BE,10,3.0,1,6,28.0,1.0,3,113.0,1,1.0,1,8.0,0,2,1.0
BE,10,3.0,1,6,67.0,4.0,3,313.0,0,1.0,4,3.0,0,2,6.0
BE,10,7.0,2,1,67.0,6.0,2,610.0,0,2.0,2,9.0,0,2,6.0
BE,10,5.0,1,2,66.0,4.0,3,313.0,0,2.0,2,8.0,0,2,6.0
BE,10,8.0,1,2,42.0,7.0,5,710.0,1,5.0,2,8.0,0,2,1.0
BE,10,9.0,1,2,41.0,5.0,3,423.0,1,4.0,2,7.0,0,2,1.0
BE,10,5.0,1,2,72.0,4.0,4,313.0,0,2.0,3,8.0,0,2,6.0
BE,10,6.0,2,1,59.0,7.0,4,720.0,0,2.0,3,7.0,0,2,9.0
BE,10,6.0,2,6,61.0,6.0,1,610.0,0,1.0,3,8.0,0,2,9.0
BE,10,4.0,2,1,29.0,5.0,4,423.0,1,2.0,2,8.0,0,2,1.0
BE,10,8.0,1,2,60.0,7.0,4,720.0,1,3.0,2,6.0,0,2,1.0
BE,10,4.0,1,2,22.0,4.0,4,313.0,0,2.0,1,8.0,0,2,4.0
BE,10,1.0,1,6,54.0,2.0,1,222.0,0,1.0,3,5.0,0,2,5.0
BE,10,8.0,1,2,70.0,6.0,4,610.0,1,2.0,1,9.0,0,2,1.0
BE,10,3.0,1,2,65.0,3.0,4,321.0,0,5.0,4,9.0,0,1,6.0
BE,10,4.0,1,2,28.0,3.0,4,321.0,1,2.0,2,2.0,0,1,1.0
BE,10,8.0,2,1,23.0,6.0,1,620.0,0,4.0,3,6.0,0,2,2.0
BE,10,5.0,2,2,62.0,1.0,2,113.0,1,3.0,4,7.0,0,2,1.0
BE,10,8.0,2,1,36.0,5.0,4,421.0,1,3.0,2,8.0,0,2,1.0
BE,10,4.0,1,1,19.0,2.0,3,222.0,0,6.0,2,8.0,0,1,2.0
BE,10,9.0,2,1,35.0,6.0,3,610.0,1,4.0,1,10.0,0,2,1.0
BE,10,9.0,1,2,50.0,5.0,4,421.0,1,4.0,2,7.0,0,1,1.0
BE,10,7.0,2,1,51.0,4.0,3,313.0,1,2.0,2,5.0,0,2,1.0
BE,10,8.0,2,1,56.0,7.0,5,710.0,1,3.0,1,8.0,0,2,1.0
BE,10,8.0,2,1,24.0,6.0,4,610.0,1,3.0,1,8.0,0,2,1.0
BE,10,6.0,1,2,71.0,6.0,4,610.0,0,2.0,3,8.0,0,2,6.0
BE,10,7.0,1,2,30.0,4.0,3,313.0,1,8.0,2,7.0,0,2,1.0
BE,10,7.0,2,1,39.0,6.0,4,610.0,1,2.0,1,8.0,0,2,1.0
BE,10,7.0,1,2,46.0,4.0,4,313.0,1,3.0,3,7.0,0,1,1.0
BE,10,6.0,1,1,35.0,4.0,2,323.0,0,4.0,3,7.0,0,2,4.0
BE,10,2.0,2,1,64.0,2.0,4,213.0,0,2.0,3,7.0,0,2,6.0
BE,10,2.0,2,6,59.0,4.0,4,323.0,1,1.0,2,8.0,0,2,8.0
BE,10,6.0,1,2,65.0,4.0,4,323.0,0,2.0,2,8.0,0,2,6.0
BE,10,9.0,1,2,25.0,7.0,2,720.0,1,3.0,2,8.0,0,2,1.0
BE,10,10.0,2,1,49.0,4.0,4,313.0,1,3.0,1,8.0,0,2,1.0
BE,10,6.0,1,1,23.0,6.0,2,620.0,0,6.0,1,9.0,1,1,2.0
BE,10,3.0,2,6,86.0,1.0,4,113.0,0,1.0,2,8.0,0,2,6.0
BE,10,10.0,2,1,55.0,6.0,4,610.0,1,2.0,1,8.0,0,2,1.0
BE,10,5.0,2,1,39.0,6.0,3,620.0,1,2.0,2,10.0,0,1,1.0
BE,10,7.0,1,2,74.0,6.0,4,610.0,0,2.0,3,7.0,0,2,6.0
BE,10,6.0,1,2,53.0,4.0,4,313.0,1,3.0,4,6.0,0,2,1.0
BE,10,6.0,2,1,37.0,6.0,4,610.0,1,2.0,1,9.0,0,2,1.0
BE,10,6.0,2,6,72.0,6.0,3,610.0,0,1.0,2,7.0,0,2,6.0
BE,10,3.0,2,6,27.0,7.0,3,720.0,1,1.0,1,8.0,0,2,1.0
BE,10,5.0,2,1,62.0,2.0,3,222.0,0,2.0,2,7.0,0,2,8.0
BE,10,9.0,1,1,25.0,4.0,3,313.0,1,7.0,1,7.0,1,1,2.0
BE,10,10.0,2,1,51.0,7.0,2,720.0,1,2.0,2,10.0,0,2,1.0
BE,10,9.0,2,1,36.0,6.0,4,610.0,1,5.0,2,8.0,0,2,1.0
BE,10,5.0,1,2,72.0,2.0,2,213.0,0,3.0,1,8.0,0,2,6.0
BE,10,4.0,2,1,17.0,4.0,4,313.0,0,5.0,2,8.0,0,2,2.0
BE,10,4.0,1,2,49.0,1.0,1,113.0,1,3.0,4,2.0,0,2,1.0
BE,10,7.0,1,1,18.0,4.0,4,313.0,0,4.0,2,7.0,0,2,2.0
BE,10,3.0,2,6,37.0,6.0,1,610.0,1,1.0,2,10.0,0,2,1.0
BE,10,4.0,2,1,58.0,6.0,4,610.0,0,2.0,4,7.0,0,2,5.0
BE,10,9.0,1,2,41.0,7.0,2,720.0,1,3.0,1,9.0,0,2,1.0
BE,10,9.0,2,1,63.0,6.0,3,610.0,0,2.0,4,1.0,0,2,6.0
BE,10,8.0,1,2,42.0,6.0,4,620.0,1,4.0,2,8.0,0,2,1.0
BE,10,4.0,1,6,73.0,6.0,4,610.0,0,1.0,2,9.0,0,2,6.0
BE,10,7.0,2,1,23.0,4.0,1,313.0,0,7.0,2,8.0,0,2,2.0
BE,10,1.0,1,6,63.0,2.0,4,222.0,0,1.0,3,7.0,0,2,4.0
BE,10,4.0,2,6,68.0,4.0,2,313.0,0,1.0,2,7.0,0,2,6.0
BE,10,4.0,2,6,50.0,7.0,4,720.0,1,1.0,2,8.0,0,2,1.0
BE,10,8.0,2,1,55.0,5.0,4,423.0,1,2.0,2,8.0,0,2,1.0
BE,10,6.0,2,1,48.0,2.0,2,213.0,1,3.0,1,8.0,0,1,1.0
BE,10,7.0,1,2,54.0,7.0,4,720.0,1,2.0,2,7.0,1,1,1.0
BE,10,6.0,1,2,20.0,5.0,4,510.0,0,4.0,1,10.0,0,2,2.0
BE,10,7.0,2,1,41.0,2.0,4,213.0,1,3.0,3,9.0,0,2,1.0
